;New_Node,PrevNode,Type,Source
         1,         1,External,USTM
         2,         2,External,USTM
         3,         3,External,USTM
         4,         4,External,USTM
         5,         5,External,USTM
         6,         6,External,USTM
         7,         7,External,USTM
         8,         8,External,USTM
         9,         9,External,USTM
        10,        10,External,USTM
        11,        11,External,USTM
        12,        12,External,USTM
        13,        13,External,USTM
        14,        14,External,USTM
        15,        15,External,USTM
        16,        16,External,USTM
        17,        17,External,USTM
        18,        18,External,USTM
        19,        19,External,USTM
        20,        20,External,USTM
        21,        21,External,USTM
        22,        22,External,USTM
        23,        23,External,USTM
        24,        24,External,USTM
        25,        25,External,USTM
        26,        26,External,USTM
        27,        27,External,USTM
        31,        31,TAZ,USTM
        32,        32,TAZ,USTM
        33,        33,TAZ,USTM
        34,        34,TAZ,USTM
        35,        35,TAZ,USTM
        36,        36,TAZ,USTM
        37,        37,TAZ,USTM
        38,        38,TAZ,USTM
        39,        39,TAZ,USTM
        40,        40,TAZ,USTM
        41,        41,TAZ,USTM
        42,        42,TAZ,USTM
        43,        43,TAZ,USTM
        44,        44,TAZ,USTM
        45,        45,TAZ,USTM
        46,        46,TAZ,USTM
        47,        47,TAZ,USTM
        48,        48,TAZ,USTM
        49,        49,TAZ,USTM
        50,        50,TAZ,USTM
        51,        51,TAZ,USTM
        52,        52,TAZ,USTM
        53,        53,TAZ,USTM
        54,        54,TAZ,USTM
        55,        55,TAZ,USTM
        56,        56,TAZ,USTM
        57,        57,TAZ,USTM
        58,        58,TAZ,USTM
        59,        59,TAZ,USTM
        60,        60,TAZ,USTM
        61,        61,TAZ,USTM
        62,        62,TAZ,USTM
        63,        63,TAZ,USTM
        64,        64,TAZ,USTM
        65,        65,TAZ,USTM
        66,        66,TAZ,USTM
        67,        67,TAZ,USTM
        68,        68,TAZ,USTM
        69,        69,TAZ,USTM
        70,        70,TAZ,USTM
        71,        71,TAZ,USTM
        72,        72,TAZ,USTM
        73,        73,TAZ,USTM
        74,        74,TAZ,USTM
        75,        75,TAZ,USTM
        76,        76,TAZ,USTM
        77,        77,TAZ,USTM
        78,        78,TAZ,USTM
        79,        79,TAZ,USTM
        80,        80,TAZ,USTM
        81,        81,TAZ,USTM
        82,        82,TAZ,USTM
        83,        83,TAZ,USTM
        84,        84,TAZ,USTM
        85,        85,TAZ,USTM
        86,        86,TAZ,USTM
        87,        87,TAZ,USTM
        88,        88,TAZ,USTM
        89,        89,TAZ,USTM
        90,        90,TAZ,USTM
