;PrevNode,New_Node,Type
        30,      8776,TAZ
        31,      8777,TAZ
        32,      8778,TAZ
        33,      8779,TAZ
        34,      8780,TAZ
        35,      8781,TAZ
        36,      8782,TAZ
        37,      8783,TAZ
        38,      8784,TAZ
        39,      8785,TAZ
        40,      8786,TAZ
        41,      8787,TAZ
        42,      8788,TAZ
        43,      8789,TAZ
        44,      8790,TAZ
        45,      8791,TAZ
        46,      8792,TAZ
        47,      8793,TAZ
        48,      8794,TAZ
        49,      8795,TAZ
        50,      8796,TAZ
        51,      8797,TAZ
        52,      8798,TAZ
        53,      8799,TAZ
        54,      8800,TAZ
        55,      8801,TAZ
        56,      8802,TAZ
        57,      8803,TAZ
        58,      8804,TAZ
        59,      8805,TAZ
        60,      8806,TAZ
        61,      8807,TAZ
        62,      8808,TAZ
        63,      8809,TAZ
        64,      8810,TAZ
        65,      8811,TAZ
        66,      8812,TAZ
        67,      8813,TAZ
        68,      8814,TAZ
        69,      8815,TAZ
        70,      8816,TAZ
        71,      8817,TAZ
        72,      8818,TAZ
        73,      8819,TAZ
        74,      8820,TAZ
        75,      8821,TAZ
        76,      8822,TAZ
        77,      8823,TAZ
        78,      8824,TAZ
        79,      8825,TAZ
        80,      8826,TAZ
        81,      8827,TAZ
        82,      8828,TAZ
        83,      8829,TAZ
        84,      8830,TAZ
        85,      8831,TAZ
        86,      8832,TAZ
        87,      8833,TAZ
        88,      8834,TAZ
        89,      8835,TAZ
        90,      8836,TAZ
        91,      8837,TAZ
        92,      8838,TAZ
        93,      8839,TAZ
        94,      8840,TAZ
        95,      8841,TAZ
        96,      8842,TAZ
        97,      8843,TAZ
        98,      8844,TAZ
        99,      8845,TAZ
       100,      8846,TAZ
       101,      8847,TAZ
       102,      8848,TAZ
       103,      8849,TAZ
       104,      8850,TAZ
       105,      8851,TAZ
       106,      8852,TAZ
       107,      8853,TAZ
       108,      8854,TAZ
       109,      8855,TAZ
       110,      8856,TAZ
       111,      8857,TAZ
       112,      8858,TAZ
       113,      8859,TAZ
       114,      8860,TAZ
       115,      8861,TAZ
       116,      8862,TAZ
       117,      8863,TAZ
       118,      8864,TAZ
       119,      8865,TAZ
       120,      8866,TAZ
       121,      8867,TAZ
       122,      8868,TAZ
       123,      8869,TAZ
       124,      8870,TAZ
       125,      8871,TAZ
       126,      8872,TAZ
       127,      8873,TAZ
       128,      8874,TAZ
       129,      8875,TAZ
       130,      8876,TAZ
       131,      8877,TAZ
       132,      8878,TAZ
       133,      8879,TAZ
       134,      8880,TAZ
       135,      8881,TAZ
       136,      8882,TAZ
       137,      8883,TAZ
       138,      8884,TAZ
       139,      8885,TAZ
       140,      8886,TAZ
       141,      8887,TAZ
       142,      8888,TAZ
       143,      8889,TAZ
       144,      8890,TAZ
       145,      8891,TAZ
       146,      8892,TAZ
       147,      8893,TAZ
       148,      8894,TAZ
       149,      8895,TAZ
       150,      8896,TAZ
       151,      8897,TAZ
       152,      8898,TAZ
       153,      8899,TAZ
       154,      8900,TAZ
       155,      8901,TAZ
       156,      8902,TAZ
       157,      8903,TAZ
       158,      8904,TAZ
       159,      8905,TAZ
       160,      8906,TAZ
       161,      8907,TAZ
       162,      8908,TAZ
       163,      8909,TAZ
       164,      8910,TAZ
       165,      8911,TAZ
       166,      8912,TAZ
       167,      8913,TAZ
       168,      8914,TAZ
       169,      8915,TAZ
       170,      8916,TAZ
       171,      8917,TAZ
       172,      8918,TAZ
       173,      8919,TAZ
       174,      8920,TAZ
       175,      8921,TAZ
       176,      8922,TAZ
       177,      8923,TAZ
       178,      8924,TAZ
       179,      8925,TAZ
       180,      8926,TAZ
       181,      8927,TAZ
       182,      8928,TAZ
       183,      8929,TAZ
       184,      8930,TAZ
       185,      8931,TAZ
       186,      8932,TAZ
       187,      8933,TAZ
       188,      8934,TAZ
       189,      8935,TAZ
       190,      8936,TAZ
       191,      8937,TAZ
       192,      8938,TAZ
       193,      8939,TAZ
       194,      8940,TAZ
       195,      8941,TAZ
       196,      8942,TAZ
       197,      8943,TAZ
       198,      8944,TAZ
       199,      8945,TAZ
       200,      8946,TAZ
       201,      8947,TAZ
       202,      8948,TAZ
       203,      8949,TAZ
       204,      8950,TAZ
       205,      8951,TAZ
       206,      8952,TAZ
       207,      8953,TAZ
       208,      8954,TAZ
       209,      8955,TAZ
       210,      8956,TAZ
       211,      8957,TAZ
       212,      8958,TAZ
       213,      8959,TAZ
       214,      8960,TAZ
       215,      8961,TAZ
       216,     80000,Highway
       217,     80001,Highway
       218,     80002,Highway
       219,     80003,Highway
       220,     80004,Highway
       221,     80005,Highway
       222,     80006,Highway
       223,     80007,Highway
       224,     80008,Highway
       225,     80009,Highway
       226,     80010,Highway
       227,     80011,Highway
       228,     80012,Highway
       229,     80013,Highway
       230,     80014,Highway
       231,     80015,Highway
       232,     80016,Highway
       233,     80017,Highway
       234,     80018,Highway
       235,     80019,Highway
       236,     80020,Highway
       237,     80021,Highway
       238,     80022,Highway
       239,     80023,Highway
       240,     80024,Highway
       241,     80025,Highway
       242,     80026,Highway
       243,     80027,Highway
       244,     80028,Highway
       245,     80029,Highway
       246,     80030,Highway
       247,     80031,Highway
       248,     80032,Highway
       249,     80033,Highway
       250,     80034,Highway
       251,     80035,Highway
       252,     80036,Highway
       253,     80037,Highway
       254,     80038,Highway
       255,     80039,Highway
       256,     80040,Highway
       257,     80041,Highway
       258,     80042,Highway
       259,     80043,Highway
       260,     80044,Highway
       261,     80045,Highway
       262,     80046,Highway
       263,     80047,Highway
       264,     80048,Highway
       265,     80049,Highway
       266,     80050,Highway
       267,     80051,Highway
       268,     80052,Highway
       269,     80053,Highway
       270,     80054,Highway
       271,     80055,Highway
       272,     80056,Highway
       273,     80057,Highway
       274,     80058,Highway
       275,     80059,Highway
       276,     80060,Highway
       277,     80061,Highway
       278,     80062,Highway
       279,     80063,Highway
       280,     80064,Highway
       281,     80065,Highway
       282,     80066,Highway
       283,     80067,Highway
       284,     80068,Highway
     10002,     80069,Highway
     10003,     80070,Highway
     10004,     80071,Highway
     10005,     80072,Highway
     10006,     80073,Highway
     10007,     80074,Highway
     10008,     80075,Highway
     10009,     80076,Highway
     10010,     80077,Highway
     10011,     80078,Highway
     10012,     80079,Highway
     10013,     80080,Highway
     10014,     80081,Highway
     10015,     80082,Highway
     10016,     80083,Highway
     10017,     80084,Highway
     10018,     80085,Highway
     10019,     80086,Highway
     10020,     80087,Highway
     10021,     80088,Highway
     10022,     80089,Highway
     10023,     80090,Highway
     10024,     80091,Highway
     10025,     80092,Highway
     10026,     80093,Highway
     10027,     80094,Highway
     10028,     80095,Highway
     10029,     80096,Highway
     10030,     80097,Highway
     10031,     80098,Highway
     10032,     80099,Highway
     10033,     80100,Highway
     10034,     80101,Highway
     10035,     80102,Highway
     10036,     80103,Highway
     10038,     80104,Highway
     10039,     80105,Highway
     10040,     80106,Highway
     10041,     80107,Highway
     10042,     80108,Highway
     10043,     80109,Highway
     10044,     80110,Highway
     10045,     80111,Highway
     10046,     80112,Highway
     10047,     80113,Highway
     10048,     80114,Highway
     10049,     80115,Highway
     10050,     80116,Highway
     10051,     80117,Highway
     10052,     80118,Highway
