P,A,trips
237,23,201.21082916285764
1271,4,54.2286896211791
1637,5,52.1981827939457
1646,5,113.6208421979654
1661,6,600.131183702678
2290,19,284.09215988102
2309,19,358.0040572503108
3286,13,425.0
3293,13,522.493883433282
3757,22,152.759291615625
4008,18,427.866619522602
4119,27,123.991395255771
4452,27,360.354452349286
4675,18,64.1541715552616
5891,3,67.6399788861778
6527,22,46.3866372298538
6538,22,215.998317968016
6583,22,38.914872722989
6727,22,70.9694222734984
6728,21,42.1471796502135
6767,22,83.9149221715742
6819,20,22.3992127351843
6828,22,21.3700950643711
7424,3,29.7814281953281
7455,3,62.3684041157152
7503,3,90.350513117425
7548,3,47.9995156216628
7635,3,76.6335459222586
7646,3,37.0723684191518
7662,27,26.6743581297745
7675,3,54.9566691774565
7705,3,30.4554501584347
7748,3,76.0585599408589
7760,3,41.310066105932
7761,3,34.2984598239344
7786,3,96.8326446232592
7829,3,75.9279763033116
7854,3,47.30260825711
8023,3,44.986714223474
8328,18,220.07737689347
8367,18,169.4808641995586
8535,3,63.4302165047931
