O,D,trips
3,4304,248.932742627815
3,7584,38.2040731292277
3,7599,34.2313107867286
3,7611,32.5253150912541
3,7654,31.1238215436728
3,7664,34.2313107867286
3,7665,114.953172949407
3,7779,84.5477252131366
5,1646,54.2286896211791
5,4304,142.848658354041
12,1140,120.480990639809
13,3280,425.0
13,3343,50.5918908491855
13,3370,522.493883433282
18,4304,781.3519195817942
18,6422,45.812601067722
21,6672,42.1471796502135
21,6758,26.9983737271507
22,3742,152.759291615625
22,6862,45.3399771076685
24,4304,58.3670843700682
24,6692,38.895707187057
181,24,38.895707187057
239,24,191.000508558774
1140,12,120.480990639809
1277,3,67.6399788861778
1497,23,174.801953953173
3343,13,50.5918908491855
4230,24,63.4245587849799
4304,3,152.6901835635205
4304,5,223.14612962510688
4304,18,982.1063931564393
4304,27,116.497519397566
4327,24,133.489564751594
6041,24,193.3811852555512
6419,18,45.812601067722
6758,21,26.9983737271507
6811,22,21.3700950643711
6862,22,45.3399771076685
7498,3,29.7814281953281
7575,3,38.2040731292277
7599,3,34.2313107867286
7632,3,76.0585599408589
7665,3,114.953172949407
8163,3,52.1981827939457
